index,target,amountRaw,amountDecimal
80,0x35F51dBAF773D579e8d3c2E70e2c908a4A02bE33,3953819012263410797246195,3953819.012263410797246195
81,0x38fC02dDFD5E39136b170e807c324ACe4180181e,4711112474528005110802726,4711112.474528005110802726
82,0x3970939c7AD2374600BBEe7ccadFAEd78DE9d66E,680256808306322013148353,680256.808306322013148353
83,0x3A8173cB3b6D6E02d849Ce280DA129D91AA9E68c,59917818911130179133388,59917.818911130179133388
84,0x3d3c0cc20a908CDb0EA140B8bc09c3cb2C2eff19,2127400261520400389610132,2127400.261520400389610132
85,0x3Ec70342780Bd98bDed1008883f31DE1e8E8B9E1,239518946282116546303133,239518.946282116546303133
86,0x406B528A2a7AE067b632486F6574BFA307B2FBb7,604133090027050001016995,604133.090027050001016995
87,0x4119cc4cE313F77de86c5BA322759634904e207f,156589003829945117527051,156589.003829945117527051
88,0x412b9305249Ccd0b5BFF8483429E6c9F1BBAF25C,21209855471783152782001,21209.855471783152782001
89,0x416759C9F879A17b0DB1A51Fc11387a526d8511f,380293358153833060726377,380293.358153833060726377
90,0x4268DDaC7A8Fd4986785FF4E61bD37eFAa0c40b2,216779796797888460874656,216779.796797888460874656
91,0x43FB99C5Bc88c9cFE4D67aBDAe0fb0a152899702,735784931841153395790296,735784.931841153395790296
92,0x45f44E8cD53630235D27BCA94fe24fF069C8Dece,1438600545680577941082534,1438600.545680577941082534
93,0x460c08B6907b9cc229bDE013c38a88314B640192,438135827605934211391068,438135.827605934211391068
94,0x46523F4E792E30A266d9b29469076a1695f17081,971824740711856148436282,971824.740711856148436282
95,0x47dE01191dBE710786A58286651f516424Aa415E,3230000000000000000000,3230.000000000000000000
96,0x47E1f80c98e2DB6Ae6319CEE060dB025Fb87ebB7,476778816776705395298474,476778.816776705395298474
97,0x4866E7bc142315c31648504535afF02D297C74DD,310720023439031126430490,310720.023439031126430490
98,0x489096E2C2e18bEe8FC92bcE63088815893d5A62,56766453490988623124595,56766.453490988623124595
99,0x4957f49620AFf3Adbbe8195a4f633E49cc93376c,13141994337622765854877,13141.994337622765854877
100,0x49cfFFdaD5f12DBf7638604F5bE2D85EB379de96,22841685872921120026070,22841.685872921120026070
101,0x4A86Bf18bfa222665e1C0A5f2054F65C59f86537,114422589648872765158836,114422.589648872765158836
102,0x4B364aCe475F608649af4Cb6654201F75F11ECd7,524291637186531225063282,524291.637186531225063282
103,0x4b75DFCb526369b107b74c8d046f92ef58D6d725,150072805320082029282067,150072.805320082029282067
104,0x4Ba3a02216257d8894EB05f951D1a5771C433209,4395390229828450700262061,4395390.229828450700262061
105,0x4c908379BB12740Aa6E673dc641deBdD542fd57C,2080170424240433668200705,2080170.424240433668200705
106,0x4Ce1cD6262ac937283ac7996CB135969857A13e5,5570571835043330043199,5570.571835043330043199
107,0x4E4db3A4C6b0CBc2A49FaaA3a4d67f19b6256247,4324374119669062255802589,4324374.119669062255802589
108,0x4ee9798d2B663d8499a9E2FbfA492606E006b6Fd,4787742335525777253595,4787.742335525777253595
109,0x4f1fE38837A1D68E1e77F1F885D575De8F4Fa821,914693817850338755257384,914693.817850338755257384
110,0x4F2EBde17C783aBd5B646cd2c1C56Ab6f40C6916,1882419640999615838493810,1882419.640999615838493810
111,0x50b9decED6a517a45dEf22087B97215C15f4A6DA,1000000000000000000000,1000.000000000000000000
112,0x51738c512e4DB6068856B7aD9241b0E2AeD33777,11189839000000000000000000,11189839.000000000000000000
113,0x51D2012328929A1cc2FF73Cf925C562A8f27C154,50910730000000000000000,50910.730000000000000000
114,0x525e9F7f1A1D422378887B7B1994D0fdfE5C4cc9,103421744118740863229780,103421.744118740863229780
115,0x5290e3d2B967C046de5CA29eF806c3287cCeF01b,1635126014742825904793028,1635126.014742825904793028
116,0x54E8B3ba0E123aFB71a7A92c665F010da8Ac0Ca6,23439977083939223356685484,23439977.083939223356685484
117,0x57A682117f878C25Ed6bD49DFdcd296aD7E62c23,11788127555453946120067110,11788127.555453946120067110
118,0x57aACe385e63fccF0603180f66E0D9D3D0E3E5F0,10000000000000000000000000,10000000.000000000000000000
119,0x58C5fEa7430a5dBEAf5FE25e5E5E7d33D7646642,31455400927416207807503,31455.400927416207807503
120,0x58FBaC0714A77A30b266776616d93911e36d363e,269841430888611720058852,269841.430888611720058852
121,0x5aD0E50cD05d119755f7F38b8003529E5DAbd855,9332323903814209258663,9332.323903814209258663
122,0x5b97D269f88808542d50A7c8483D8B00363E3582,120773380883367503143501,120773.380883367503143501
123,0x5Bca4075dFC8065235cF75C6b15B410e62845Fec,583380011049305134124060,583380.011049305134124060
124,0x5d2860298bBAAF4F3E1fbCe014360A789Fd3F4Fa,575391116449191137191024,575391.116449191137191024
